Total Start (°),Total End (°),Sign,Inner Start (°),Inner End (°),Duad,Decan,Bound,Numerology,Sabian Text,Decimal Start,Decimal End
0,0.98333,Aries,0°00′,0°59′,♈,♂,♃,1,"A woman rises out of the water, a seal rises and embraces her",0,0.98333
1,1.98333,Aries,1°00′,1°59′,♈,♂,♃,2,A comedian entertaining a group.,1,1.98333
2,2.48333,Aries,2°00′,2°29′,♈,♂,♃,3,"A cameo profile of a man, in the outline of his country",2,2.48333
2.5,2.98333,Aries,2°30′,2°59′,♉,♂,♃,3,"A cameo profile of a man, in the outline of his country",2.5,2.98333
3,3.98333,Aries,3°00′,3°59′,♉,♂,♃,4,Two lovers strolling through a secluded walk.,3,3.98333
4,4.98333,Aries,4°00′,4°59′,♉,♂,♃,5,A triangle with wings.,4,4.98333
5,5.98333,Aries,5°00′,5°59′,♊,♂,♃,6,A square brightly lighted on one side.,5,5.98333
6,6.98333,Aries,6°00′,6°59′,♊,♂,♀,7,A man successfully expressing himself in two realms at once.,6,6.98333
7,7.48333,Aries,7°00′,7°29′,♊,♂,♀,8,"A large hat with streamers flying, facing east.",7,7.48333
7.5,7.98333,Aries,7°30′,7°59′,♋,♂,♀,8,"A large hat with streamers flying, facing east.",7.5,7.98333
8,8.98333,Aries,8°00′,8°59′,♋,♂,♀,9,A crystal gazer.,8,8.98333
9,9.98333,Aries,9°00′,9°59′,♋,♂,♀,1,A man teaching new forms for old symbols.,9,9.98333
10,10.98333,Aries,10°00′,10°59′,♌,☉,♀,2,The president of the country ,10,10.98333
11,11.98333,Aries,11°00′,11°59′,♌,☉,♀,3,A flock of wild geese.,11,11.98333
12,12.48333,Aries,12°00′,12°29′,♌,☉,☿,4,An unsuccessful bomb explosion.,12,12.48333
12.5,12.98333,Aries,12°30′,12°59′,♍,☉,☿,4,An unsuccessful bomb explosion.,12.5,12.98333
13,13.98333,Aries,13°00′,13°59′,♍,☉,☿,5,A serpent coiling near a man and a woman. ,13,13.98333
14,14.98333,Aries,14°00′,14°59′,♍,☉,☿,6,An Indian weaving a blanket.,14,14.98333
15,15.98333,Aries,15°00′,15°59′,♎,☉,☿,7,Brownies dancing in the setting sun. ,15,15.98333
16,16.98333,Aries,16°00′,16°59′,♎,☉,☿,8,Two prim spinsters.,16,16.98333
17,17.48333,Aries,17°00′,17°29′,♎,☉,☿,9,An empty hammock.,17,17.48333
17.5,17.98333,Aries,17°30′,17°59′,♏,☉,☿,9,An empty hammock.,17.5,17.98333
18,18.98333,Aries,18°00′,18°59′,♏,☉,☿,1,The magic carpet.,18,18.98333
19,19.98333,Aries,19°00′,19°59′,♏,☉,☿,2,A young girl feeding birds in winter.,19,19.98333
20,20.98333,Aries,20°00′,20°59′,♐,♀,♂,3,A pugilist entering the ring. ,20,20.98333
21,21.98333,Aries,21°00′,21°59′,♐,♀,♂,4,The gate to the garden of desire.,21,21.98333
22,22.48333,Aries,22°00′,22°29′,♐,♀,♂,5,A woman in pastel colours carrying a heavy and valuable but veiled load.,22,22.48333
22.5,22.98333,Aries,22°30′,22°59′,♑,♀,♂,5,A woman in pastel colours carrying a heavy and valuable but veiled load.,22.5,22.98333
23,23.98333,Aries,23°00′,23°59′,♑,♀,♂,6,An open window and a net curtain blowing into a cornucopia.,23,23.98333
24,24.98333,Aries,24°00′,24°59′,♑,♀,♂,7,A double promise.,24,24.98333
25,25.98333,Aries,25°00′,25°59′,♒,♀,♄,8,A man possessed of more gifts than he can hold.,25,25.98333
26,26.98333,Aries,26°00′,26°59′,♒,♀,♄,9,A lost opportunity is regained in the imagination.,26,26.98333
27,27.48333,Aries,27°00′,27°29′,♒,♀,♄,1,A large disappointed audience.,27,27.48333
27.5,27.98333,Aries,27°30′,27°59′,♓,♀,♄,1,A large disappointed audience.,27.5,27.98333
28,28.98333,Aries,28°00′,28°59′,♓,♀,♄,2,A celestial choir singing.,28,28.98333
29,29.98333,Aries,29°00′,29°59′,♓,♀,♄,3,A duck pond and its brood.,29,29.98333
30,30.98333,Taurus,0°00′,0°59′,♉,☿,♀,4,A clear mountain stream.,30,30.98333
31,31.98333,Taurus,1°00′,1°59′,♉,☿,♀,5,An electrical storm.,31,31.98333
32,32.48333,Taurus,2°00′,2°29′,♉,☿,♀,6,Steps up to a lawn blooming with clover.,32,32.48333
